dni,nia,id_modul,nota
67599262P,13963624,0378,10.00
85618548J,76739576,0382,10.00
67599262P,13963624,0380,10.00
67599262P,13963624,0381,10.00
60046829Q,31897885,0484,10.00
67599262P,13963624,CV0003,10.00
85618548J,76739576,0380,10.00
94197901K,72313554,0371,10.00
46867487L,14076370,0483,10.00
85618548J,76739576,0378,10.00
46867487L,14076370,0485,10.00
98008852X,67549723,0485,10.00
98008852X,67549723,0484,10.00
49575723M,51626375,0223,10.00
58626619X,48089993,0488,10.00
62934115C,55016215,0378,10.00
62934115C,55016215,0380,10.00
62934115C,55016215,0381,10.00
26265489H,99769575,CV0003,10.00
33336663A,46067748,0619,10.00
33336663A,46067748,0618,10.00
33336663A,46067748,0617,10.00
85618548J,76739576,0369,10.00
33336663A,46067748,0485,10.00
33336663A,46067748,0483,10.00
01780605Z,67028663,0485,10.00
44587192J,61349761,CV0001,10.00
58737848B,62099325,0225,10.00
62824090G,44774904,0369,10.00
19432866M,26267634,CV0001,10.00
19512022H,36214064,0221,10.00
16797542K,54609382,0483,10.00
15447756J,32331827,0483,10.00
19512022H,36214064,0223,10.00
60057431S,40197095,0377,10.00
54934334F,27524971,0493,10.00
21484947A,14924329,CV0003,10.00
03498235G,15920428,0373,10.00
03498235G,15920428,0483,10.00
27606808T,65419581,0221,10.00
19512022H,36214064,0226,10.00
01780605Z,67028663,0619,10.00
53797197J,56480472,0491,10.00
19512022H,36214064,0228,10.00
03498235G,15920428,0489,10.00
11022810Z,75116193,0225,10.00
65516639N,62230816,0224,10.00
11022810Z,75116193,0222,10.00
05500933T,66851445,0380,10.00
03498235G,15920428,0494,10.00
29866095C,39062734,CV0003,10.00
26265489H,99769575,0487,10.00
61463873F,54029642,0484,10.00
31194708S,16611638,0221,10.00
31194708S,16611638,0222,10.00
50380169A,27910886,0373,10.00
26265489H,99769575,0485,10.00
91607960H,98977554,0225,10.00
29866095C,39062734,0616,10.00
79246188X,79908211,0615,10.00
20415767R,71974128,0223,10.00
67043420F,98337501,0485,10.00
67043420F,98337501,0373,10.00
72372222P,27936804,0487,10.00
79246188X,79908211,0484,10.00
30251326R,56474053,0223,10.00
38506192Y,71043550,CV0003,10.00
72372222P,27936804,0614,10.00
74978264N,98030593,0223,10.00
72372222P,27936804,0616,10.00
37633101H,17408378,CV0001,10.00
68470233S,97428687,CV0001,10.00
68470233S,97428687,0229,10.00
72372222P,27936804,0619,10.00
45266546Q,33034712,0222,10.00
65516639N,62230816,0226,10.00
14266797N,28283845,0373,10.00
91929968A,69826104,0487,10.00
91929968A,69826104,0485,10.00
14266797N,28283845,0485,10.00
29866095C,39062734,0487,10.00
50380169A,27910886,0372,10.00
14266797N,28283845,0617,10.00
95410270Z,33055389,0221,10.00
54031648W,97019104,0223,10.00
23623459K,95838816,CV0004,10.00
23623459K,95838816,CV0003,10.00
23623459K,95838816,0495,10.00
30794861T,18433830,0225,10.00
23623459K,95838816,0491,10.00
65516639N,62230816,0229,10.00
26336906C,74607625,0223,10.00
54539618V,36549183,0229,10.00
23623459K,95838816,0490,10.00
23623459K,95838816,0489,10.00
95410270Z,33055389,0231,10.00
54539618V,36549183,CV0001,10.00
23623459K,95838816,0487,10.00
23623459K,95838816,0485,10.00
42219487C,33520299,0222,10.00
14713060Y,67334545,0616,10.00
74999306D,43685640,0485,10.00
45274181S,74420830,0369,10.00
01809637C,19071989,0493,10.00
25201520Y,36780105,0380,10.00
23623459K,95838816,0483,10.00
23623459K,95838816,0373,10.00
07382694Q,95768369,0380,10.00
07382694Q,95768369,0373,10.00
07382694Q,95768369,0372,10.00
49927637L,95225976,CV0001,10.00
58556966R,43679205,0380,10.00
72516801D,93990565,0225,10.00
21539505M,30268657,0489,10.00
06875813D,93753171,0376,10.00
21539505M,30268657,0491,10.00
22681459D,93549324,0483,10.00
11954200L,93340135,0483,10.00
59066303A,62840862,0221,10.00
21539505M,30268657,0495,10.00
21539505M,30268657,CV0003,10.00
14974777Y,52913410,0484,10.00
11954200L,93340135,0373,10.00
76718444N,30476456,0370,10.00
49503629Q,77012526,CV0002,10.00
76718444N,30476456,0371,10.00
73474372K,90632096,0373,10.00
73474372K,90632096,0369,10.00
67243552Q,89302040,0378,10.00
49958504C,63351740,0224,10.00
67243552Q,89302040,0375,10.00
16994544M,30605477,0483,10.00
16994544M,30605477,0484,10.00
67243552Q,89302040,0373,10.00
01727468F,65113807,0483,10.00
16994544M,30605477,0493,10.00
01727468F,65113807,0487,10.00
01727468F,65113807,0612,10.00
82676956Y,41353026,0493,10.00
71986981V,89070191,0229,10.00
59563235C,85166921,CV0003,9.00
02064836B,88116101,0485,9.00
02064836B,88116101,0614,9.00
62743941X,88601876,0491,9.00
62743941X,88601876,0495,9.00
62743941X,88601876,CV0004,9.00
67243552Q,89302040,0372,9.00
59563235C,85166921,0618,9.00
67243552Q,89302040,0374,9.00
67243552Q,89302040,0376,9.00
67243552Q,89302040,0377,9.00
77096917C,74129757,CV0003,9.00
59563235C,85166921,0614,9.00
67243552Q,89302040,0379,9.00
67243552Q,89302040,0380,9.00
46804008C,90273988,0485,9.00
77096917C,74129757,0485,9.00
53832705D,11388513,0380,9.00
73474372K,90632096,CV0003,9.00
59563235C,85166921,0487,9.00
97558217Z,91202976,0222,9.00
59563235C,85166921,0484,9.00
59563235C,85166921,0373,9.00
34764603B,51176958,0380,9.00
35889533B,52798440,0487,9.00
77096917C,74129757,0373,9.00
97558217Z,91202976,0225,9.00
35889533B,52798440,0488,9.00
36186605S,31821835,0221,9.00
67851392N,82844846,0487,9.00
36186605S,31821835,0223,9.00
11954200L,93340135,0485,9.00
36186605S,31821835,0226,9.00
34764603B,51176958,0381,9.00
36186605S,31821835,0228,9.00
36186605S,31821835,0229,9.00
11954200L,93340135,0487,9.00
10890313C,12507685,0617,9.00
67851392N,82844846,0483,9.00
67851392N,82844846,0373,9.00
70077718F,74100365,0612,9.00
48279581M,82237117,0225,9.00
48279581M,82237117,0223,9.00
56514503F,93477492,0223,9.00
94197901K,72313554,0382,9.00
22681459D,93549324,0485,9.00
34764603B,51176958,CV0004,9.00
94197901K,72313554,0379,9.00
06875813D,93753171,0369,9.00
06875813D,93753171,0374,9.00
94197901K,72313554,0377,9.00
94197901K,72313554,0375,9.00
94197901K,72313554,0374,9.00
06875813D,93753171,0375,9.00
60041427L,81551216,0490,9.00
06875813D,93753171,0378,9.00
72516801D,93990565,0228,9.00
60046829Q,31897885,0373,9.00
72516801D,93990565,CV0002,9.00
67599262P,13963624,0374,9.00
60046829Q,31897885,0487,9.00
67599262P,13963624,0376,9.00
67599262P,13963624,0379,9.00
67599262P,13963624,0382,9.00
67599262P,13963624,CV0004,9.00
92331569R,95542592,0227,9.00
46867487L,14076370,0484,9.00
46867487L,14076370,0487,9.00
92331569R,95542592,0228,9.00
07382694Q,95768369,0370,9.00
07382694Q,95768369,0371,9.00
60041427L,81551216,0485,9.00
07382694Q,95768369,CV0003,9.00
23623459K,95838816,0484,9.00
23623459K,95838816,0488,9.00
79246188X,79908211,CV0003,9.00
23623459K,95838816,0493,9.00
23623459K,95838816,0494,9.00
54031648W,97019104,0221,9.00
54031648W,97019104,0229,9.00
37311400H,32318037,0230,9.00
79246188X,79908211,0616,9.00
49575723M,51626375,CV0001,9.00
54031648W,97019104,CV0001,9.00
68470233S,97428687,0222,9.00
37311400H,32318037,CV0002,9.00
94197901K,72313554,0370,9.00
21484947A,14924329,0484,9.00
21484947A,14924329,0485,9.00
21484947A,14924329,0487,9.00
68470233S,97428687,0224,9.00
03498235G,15920428,0484,9.00
03498235G,15920428,0485,9.00
68470233S,97428687,0231,9.00
03498235G,15920428,0487,9.00
03498235G,15920428,0488,9.00
03498235G,15920428,0490,9.00
68470233S,97428687,CV0002,9.00
03498235G,15920428,0492,9.00
03498235G,15920428,0493,9.00
67043420F,98337501,0617,9.00
94310708J,98683565,0223,9.00
91607960H,98977554,0221,9.00
31194708S,16611638,0223,9.00
94197901K,72313554,0369,9.00
91607960H,98977554,0223,9.00
54076092X,99729826,0493,9.00
20415767R,71974128,CV0001,9.00
81994632T,37481786,0369,9.00
78885786H,52247349,0483,9.00
20415767R,71974128,0221,9.00
91929968A,69826104,0493,9.00
91929968A,69826104,0484,9.00
95410270Z,33055389,0227,9.00
95410270Z,33055389,0228,9.00
37633101H,17408378,0229,9.00
95410270Z,33055389,CV0001,9.00
91929968A,69826104,0483,9.00
42219487C,33520299,0224,9.00
42219487C,33520299,0225,9.00
42219487C,33520299,CV0001,9.00
92147421Z,33618341,0485,9.00
75179149S,69452465,0381,9.00
75179149S,69452465,0378,9.00
75179149S,69452465,0376,9.00
22007781R,18002434,0484,9.00
75179149S,69452465,0375,9.00
75179149S,69452465,0374,9.00
75179149S,69452465,0369,9.00
53797197J,56480472,0485,9.00
30794861T,18433830,0222,9.00
12010031Y,67988417,0373,9.00
30794861T,18433830,0229,9.00
98008852X,67549723,CV0003,9.00
78885786H,52247349,0485,9.00
66060496B,77189277,0493,9.00
30251326R,56474053,CV0001,9.00
14713060Y,67334545,CV0003,9.00
19512022H,36214064,0222,9.00
19512022H,36214064,0224,9.00
19512022H,36214064,0225,9.00
19512022H,36214064,0227,9.00
19512022H,36214064,0230,9.00
19512022H,36214064,0231,9.00
19512022H,36214064,CV0001,9.00
19512022H,36214064,CV0002,9.00
54539618V,36549183,0221,9.00
78885786H,52247349,0612,9.00
66060496B,77189277,0491,9.00
54539618V,36549183,0223,9.00
14713060Y,67334545,0615,9.00
14713060Y,67334545,0483,9.00
25201520Y,36780105,0369,9.00
25201520Y,36780105,0381,9.00
76019131Z,53017099,CV0001,9.00
78885786H,52247349,0616,9.00
67243552Q,89302040,CV0004,9.00
94495852F,19286411,0485,9.00
81994632T,37481786,0370,9.00
81994632T,37481786,0371,9.00
81994632T,37481786,0373,9.00
81994632T,37481786,0380,9.00
01780605Z,67028663,0613,9.00
01780605Z,67028663,0612,9.00
01780605Z,67028663,0487,9.00
01780605Z,67028663,0484,9.00
49503629Q,77012526,CV0001,9.00
01780605Z,67028663,0483,9.00
49503629Q,77012526,0231,9.00
80329882J,38320170,CV0003,9.00
29866095C,39062734,0617,9.00
49503629Q,77012526,0230,9.00
27606808T,65419581,0225,9.00
05111734F,39803212,0381,9.00
61463873F,54029642,0488,9.00
60057431S,40197095,0376,9.00
82676956Y,41353026,0373,9.00
08198556E,20142973,0493,9.00
08198556E,20142973,CV0003,9.00
82676956Y,41353026,0483,9.00
82676956Y,41353026,0484,9.00
31706976G,21559409,0371,9.00
40800603Y,52298333,0221,9.00
82676956Y,41353026,0485,9.00
01727468F,65113807,0614,9.00
59977870B,41728235,0223,9.00
16797542K,54609382,0485,9.00
59977870B,41728235,0225,9.00
49503629Q,77012526,0226,9.00
01727468F,65113807,0373,9.00
49958504C,63351740,CV0002,9.00
16797542K,54609382,0487,9.00
49503629Q,77012526,0224,9.00
30251326R,56474053,0222,9.00
94759150R,54411276,0483,9.00
49503629Q,77012526,0223,9.00
49365149L,23164278,0221,9.00
49365149L,23164278,0223,9.00
49365149L,23164278,0225,9.00
49365149L,23164278,0227,9.00
49365149L,23164278,0230,9.00
65516639N,62230816,CV0002,9.00
49365149L,23164278,CV0002,9.00
65516639N,62230816,0231,9.00
26630865Q,23687805,0223,9.00
57024130T,55822430,0225,9.00
49503629Q,77012526,0222,9.00
74999306D,43685640,0373,9.00
74999306D,43685640,0483,9.00
23944826D,24699333,0222,9.00
74999306D,43685640,0613,9.00
23944826D,24699333,0224,9.00
23944826D,24699333,0225,9.00
74999306D,43685640,0614,9.00
57024130T,55822430,0221,9.00
65516639N,62230816,0227,9.00
62824090G,44774904,0370,9.00
23944826D,24699333,0231,9.00
62824090G,44774904,0373,9.00
65516639N,62230816,0221,9.00
75739260F,62195880,0485,9.00
58737848B,62099325,0223,9.00
26913889W,61007828,CV0003,9.00
26913889W,61007828,0371,9.00
68778715K,76979833,0371,9.00
33336663A,46067748,0484,9.00
33336663A,46067748,0613,9.00
85618548J,76739576,CV0004,9.00
31888025C,25744507,0229,9.00
33336663A,46067748,0614,9.00
85618548J,76739576,CV0003,9.00
85618548J,76739576,0381,9.00
85618548J,76739576,0379,9.00
85618548J,76739576,0377,9.00
85618548J,76739576,0376,9.00
33336663A,46067748,0616,9.00
62743941X,88601876,0373,9.00
61814899F,60912855,0222,9.00
85618548J,76739576,0373,9.00
37361057H,46685685,0373,9.00
37361057H,46685685,0378,9.00
87654727W,59039110,0613,9.00
94976167J,76104165,0483,9.00
37361057H,46685685,CV0003,9.00
19432866M,26267634,0222,9.00
19432866M,26267634,0223,9.00
19432866M,26267634,0225,9.00
19432866M,26267634,0229,9.00
54934334F,27524971,0373,9.00
54934334F,27524971,0483,9.00
74907317C,58998954,CV0004,9.00
54934334F,27524971,0485,9.00
54934334F,27524971,0487,9.00
54934334F,27524971,CV0003,9.00
58626619X,48089993,0484,9.00
58626619X,48089993,0486,9.00
11022810Z,75116193,0229,9.00
11022810Z,75116193,0223,9.00
58626619X,48089993,0489,9.00
76594503H,54550890,0487,9.00
37819043M,48475131,0221,9.00
74907317C,58998954,0616,9.00
32035709K,48492742,0225,9.00
74907317C,58998954,0487,9.00
29212245Z,57226072,0380,9.00
84321270G,48633790,0373,9.00
84321270G,48633790,0485,9.00
72372222P,27936804,0485,9.00
72372222P,27936804,0612,9.00
84321270G,48633790,0486,9.00
72372222P,27936804,0615,9.00
84321270G,48633790,0487,9.00
72372222P,27936804,0618,9.00
84321270G,48633790,0489,9.00
72372222P,27936804,CV0004,9.00
14266797N,28283845,0483,9.00
14266797N,28283845,0484,9.00
14266797N,28283845,0487,9.00
14266797N,28283845,CV0003,9.00
84321270G,48633790,0490,9.00
26336906C,74607625,CV0001,9.00
84321270G,48633790,0491,9.00
26336906C,74607625,0229,9.00
84321270G,48633790,0492,9.00
84321270G,48633790,0495,9.00
26336906C,74607625,0222,9.00
84321270G,48633790,CV0004,9.00
28407690E,57096888,0373,9.00
28407690E,57096888,0369,9.00
04815097R,56825002,CV0003,9.00
54454160G,56628159,0379,9.00
45274181S,74420830,0373,9.00
45274181S,74420830,0372,9.00
45274181S,74420830,0371,9.00
54454160G,56628159,0375,9.00
54454160G,56628159,0373,9.00
54454160G,56628159,0369,9.00
79498463K,51163005,0221,9.00
34764603B,51176958,0369,9.00
21539505M,30268657,0484,9.00
21539505M,30268657,0485,9.00
34764603B,51176958,0370,9.00
34764603B,51176958,0371,9.00
21539505M,30268657,0488,9.00
21539505M,30268657,0490,9.00
21539505M,30268657,0492,9.00
34764603B,51176958,0373,9.00
21539505M,30268657,0494,9.00
34764603B,51176958,0377,9.00
76718444N,30476456,0369,9.00
76718444N,30476456,0372,9.00
09367179S,85178973,0380,9.00
76718444N,30476456,0380,9.00
09367179S,85178973,CV0003,9.00
34946481M,85624618,0488,9.00
59005153X,86162105,0486,9.00
15197187Y,86488312,0487,9.00
15197187Y,86488312,0490,9.00
92364805W,10720132,0229,8.00
59563235C,85166921,0619,8.00
54551515T,74287159,0382,8.00
35889533B,52798440,0483,8.00
61814899F,60912855,CV0001,8.00
99183139D,10975073,0373,8.00
58737848B,62099325,0226,8.00
53185864C,11001795,0221,8.00
59563235C,85166921,0617,8.00
59563235C,85166921,0616,8.00
53832705D,11388513,0369,8.00
77096917C,74129757,0493,8.00
53832705D,11388513,0371,8.00
51176417Z,45367357,0373,8.00
53832705D,11388513,CV0003,8.00
35889533B,52798440,0485,8.00
14713060Y,67334545,0619,8.00
98008852X,67549723,0483,8.00
37361057H,46685685,0380,8.00
62314274Y,11549526,0378,8.00
67851392N,82844846,CV0003,8.00
62314274Y,11549526,0381,8.00
36186605S,31821835,0225,8.00
36186605S,31821835,CV0001,8.00
10890313C,12507685,0373,8.00
27606808T,65419581,0222,8.00
94197901K,72313554,0381,8.00
48279581M,82237117,0229,8.00
48279581M,82237117,0221,8.00
40966927V,82186272,0617,8.00
98008852X,67549723,0373,8.00
60041427L,81551216,CV0004,8.00
49575723M,51626375,0222,8.00
37361057H,46685685,0382,8.00
60041427L,81551216,0494,8.00
60041427L,81551216,0493,8.00
60041427L,81551216,0492,8.00
60041427L,81551216,0491,8.00
94197901K,72313554,0373,8.00
67599262P,13963624,0369,8.00
67599262P,13963624,0370,8.00
67599262P,13963624,0373,8.00
67599262P,13963624,0375,8.00
46867487L,14076370,0373,8.00
46867487L,14076370,0617,8.00
81994632T,37481786,0372,8.00
94197901K,72313554,0372,8.00
60046829Q,31897885,0483,8.00
60041427L,81551216,0483,8.00
60041427L,81551216,0373,8.00
79246188X,79908211,0619,8.00
35889533B,52798440,0489,8.00
49575723M,51626375,0225,8.00
49575723M,51626375,0229,8.00
60046829Q,31897885,CV0003,8.00
37311400H,32318037,0221,8.00
37311400H,32318037,0222,8.00
21484947A,14924329,0373,8.00
21484947A,14924329,0483,8.00
62934115C,55016215,0374,8.00
03498235G,15920428,0486,8.00
62934115C,55016215,CV0003,8.00
37311400H,32318037,0225,8.00
03498235G,15920428,CV0003,8.00
03498235G,15920428,CV0004,8.00
37311400H,32318037,0226,8.00
31194708S,16611638,0229,8.00
31194708S,16611638,CV0001,8.00
37311400H,32318037,0227,8.00
79246188X,79908211,0485,8.00
78885786H,52247349,0484,8.00
37311400H,32318037,0228,8.00
61814899F,60912855,0221,8.00
37633101H,17408378,0223,8.00
79246188X,79908211,0483,8.00
58870356Q,59675630,0486,8.00
97106044K,77358597,0222,8.00
66060496B,77189277,CV0003,8.00
35889533B,52798440,0491,8.00
15447756J,32331827,0484,8.00
16797542K,54609382,0489,8.00
66060496B,77189277,0494,8.00
37361057H,46685685,CV0004,8.00
25201520Y,36780105,CV0004,8.00
22007781R,18002434,0487,8.00
22007781R,18002434,0617,8.00
22007781R,18002434,CV0003,8.00
30794861T,18433830,0221,8.00
30794861T,18433830,0223,8.00
30794861T,18433830,CV0001,8.00
74558162M,18566589,0484,8.00
74558162M,18566589,0485,8.00
74558162M,18566589,0487,8.00
15447756J,32331827,CV0003,8.00
01780605Z,67028663,0614,8.00
01809637C,19071989,0373,8.00
05500933T,66851445,0379,8.00
01809637C,19071989,0484,8.00
01809637C,19071989,0485,8.00
01809637C,19071989,0487,8.00
53797197J,56480472,0493,8.00
26913889W,61007828,0380,8.00
66060496B,77189277,0489,8.00
58626619X,48089993,0490,8.00
78885786H,52247349,0614,8.00
49299679F,45614765,0370,8.00
83929242B,46183690,CV0004,8.00
74999306D,43685640,0487,8.00
94495852F,19286411,0487,8.00
94495852F,19286411,0617,8.00
94495852F,19286411,CV0003,8.00
27606808T,65419581,0223,8.00
66060496B,77189277,0486,8.00
29866095C,39062734,0614,8.00
61463873F,54029642,0483,8.00
37361057H,46685685,0370,8.00
78885786H,52247349,0618,8.00
78885786H,52247349,0619,8.00
49299679F,45614765,0380,8.00
37361057H,46685685,0371,8.00
08198556E,20142973,0483,8.00
33336663A,46067748,0373,8.00
08198556E,20142973,0485,8.00
14713060Y,67334545,CV0004,8.00
78885786H,52247349,CV0004,8.00
76594503H,54550890,0373,8.00
31706976G,21559409,0373,8.00
31706976G,21559409,0380,8.00
49503629Q,77012526,0229,8.00
40800603Y,52298333,0223,8.00
74999306D,43685640,CV0004,8.00
69638601Y,22751397,0373,8.00
49503629Q,77012526,0225,8.00
60057431S,40197095,0369,8.00
25201520Y,36780105,0377,8.00
29376055H,44359797,0484,8.00
49365149L,23164278,0231,8.00
62934115C,55016215,CV0004,8.00
33336663A,46067748,0487,8.00
37361057H,46685685,0374,8.00
23944826D,24699333,0221,8.00
54539618V,36549183,0225,8.00
05500933T,66851445,0376,8.00
23944826D,24699333,0227,8.00
37361057H,46685685,0375,8.00
62934115C,55016215,0370,8.00
23944826D,24699333,CV0001,8.00
33336663A,46067748,0615,8.00
49503629Q,77012526,0221,8.00
68778715K,76979833,0380,8.00
68778715K,76979833,0373,8.00
68778715K,76979833,0372,8.00
76594503H,54550890,0484,8.00
31888025C,25744507,0227,8.00
54539618V,36549183,0222,8.00
85618548J,76739576,0375,8.00
85618548J,76739576,0374,8.00
85618548J,76739576,0371,8.00
96248343J,25967477,0494,8.00
85618548J,76739576,0370,8.00
19432866M,26267634,0221,8.00
37361057H,46685685,0377,8.00
29376055H,44359797,0495,8.00
52545495V,67495872,0222,8.00
50380169A,27910886,0369,8.00
50380169A,27910886,0370,8.00
50380169A,27910886,0371,8.00
34764603B,51176958,0379,8.00
50380169A,27910886,0380,8.00
65516639N,62230816,0223,8.00
72372222P,27936804,0373,8.00
72372222P,27936804,0483,8.00
72372222P,27936804,0484,8.00
72372222P,27936804,0613,8.00
72372222P,27936804,0617,8.00
72372222P,27936804,CV0003,8.00
11022810Z,75116193,0221,8.00
14713060Y,67334545,0618,8.00
01780605Z,67028663,0618,8.00
52545495V,67495872,0226,8.00
33336663A,46067748,CV0003,8.00
26336906C,74607625,0221,8.00
05500933T,66851445,0382,8.00
76594503H,54550890,0485,8.00
25201520Y,36780105,0375,8.00
45274181S,74420830,0370,8.00
98008852X,67549723,0487,8.00
46101581J,29975690,CV0002,8.00
26913889W,61007828,0370,8.00
21539505M,30268657,0483,8.00
21539505M,30268657,0486,8.00
21539505M,30268657,0487,8.00
21539505M,30268657,0493,8.00
21539505M,30268657,CV0004,8.00
76718444N,30476456,0373,8.00
35889533B,52798440,0373,8.00
16994544M,30605477,0373,8.00
16994544M,30605477,0485,8.00
16994544M,30605477,0487,8.00
62934115C,55016215,0382,8.00
16797542K,54609382,0488,8.00
09460535Z,74289587,0223,8.00
26913889W,61007828,0369,8.00
09460535Z,74289587,0222,8.00
09460535Z,74289587,0221,8.00
37819043M,48475131,0223,8.00
37819043M,48475131,0224,8.00
37819043M,48475131,0225,8.00
37819043M,48475131,0227,8.00
37819043M,48475131,0228,8.00
03489810C,36133192,0485,8.00
37819043M,48475131,CV0001,8.00
32035709K,48492742,0223,8.00
25201520Y,36780105,0372,8.00
32035709K,48492742,CV0001,8.00
74907317C,58998954,0614,8.00
74907317C,58998954,0613,8.00
74907317C,58998954,0612,8.00
61463873F,54029642,0487,8.00
74907317C,58998954,0484,8.00
57295877W,58376297,0380,8.00
01780605Z,67028663,0616,8.00
60057431S,40197095,0375,8.00
84321270G,48633790,0483,8.00
84321270G,48633790,0484,8.00
61463873F,54029642,0489,8.00
60057431S,40197095,0379,8.00
60057431S,40197095,0380,8.00
25201520Y,36780105,0370,8.00
60057431S,40197095,0382,8.00
84321270G,48633790,0494,8.00
01780605Z,67028663,CV0004,8.00
84321270G,48633790,CV0003,8.00
60057431S,40197095,CV0004,8.00
76594503H,54550890,0615,8.00
12010031Y,67988417,0612,8.00
34385521S,48753021,0485,8.00
53797197J,56480472,0373,8.00
28407690E,57096888,0370,8.00
54454160G,56628159,CV0004,8.00
54454160G,56628159,CV0003,8.00
54454160G,56628159,0382,8.00
76594503H,54550890,0616,8.00
16797542K,54609382,0484,8.00
13290595E,35629787,0231,8.00
01727468F,65113807,CV0004,8.00
54454160G,56628159,0371,8.00
01727468F,65113807,CV0003,8.00
53797197J,56480472,CV0004,8.00
76594503H,54550890,0617,8.00
79498463K,51163005,0229,8.00
01727468F,65113807,0618,8.00
34764603B,51176958,0372,8.00
01727468F,65113807,0617,8.00
34764603B,51176958,0374,8.00
34764603B,51176958,0375,8.00
12010031Y,67988417,0617,8.00
01727468F,65113807,0616,8.00
09367179S,85178973,0370,8.00
09367179S,85178973,0376,8.00
09367179S,85178973,0378,8.00
01780605Z,67028663,0615,8.00
09367179S,85178973,0382,8.00
30251326R,56474053,0231,8.00
09367179S,85178973,CV0004,8.00
40922189Z,85180018,0373,8.00
35805649P,85394684,0487,8.00
01780605Z,67028663,0373,8.00
34946481M,85624618,0491,8.00
69113316H,86018860,0221,8.00
69113316H,86018860,0223,8.00
69113316H,86018860,0229,8.00
59005153X,86162105,0488,8.00
59005153X,86162105,0490,8.00
59005153X,86162105,0491,8.00
59005153X,86162105,0493,8.00
13290595E,35629787,0224,8.00
15197187Y,86488312,0483,8.00
14713060Y,67334545,0484,8.00
15197187Y,86488312,0489,8.00
15197187Y,86488312,0495,8.00
15197187Y,86488312,CV0003,8.00
15197187Y,86488312,CV0004,8.00
38840335M,86527708,0229,8.00
73516085N,87374723,0373,8.00
73516085N,87374723,0483,8.00
73516085N,87374723,CV0003,8.00
23739356K,87457454,0372,8.00
23739356K,87457454,0374,8.00
23739356K,87457454,0375,8.00
23739356K,87457454,0378,8.00
14514060W,87998070,0370,8.00
53797197J,56480472,0484,8.00
02064836B,88116101,0484,8.00
82676956Y,41353026,CV0003,8.00
02064836B,88116101,0612,8.00
97752250L,69251085,0373,8.00
30251326R,56474053,0229,8.00
02064836B,88116101,0617,8.00
02064836B,88116101,0618,8.00
62743941X,88601876,0485,8.00
97752250L,69251085,0493,8.00
62743941X,88601876,0488,8.00
53797197J,56480472,0486,8.00
62743941X,88601876,0490,8.00
01727468F,65113807,0613,8.00
75179149S,69452465,0371,8.00
62743941X,88601876,0494,8.00
62743941X,88601876,CV0003,8.00
71986981V,89070191,0225,8.00
67243552Q,89302040,0369,8.00
67243552Q,89302040,0370,8.00
67243552Q,89302040,0371,8.00
